websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Studio, Murals",Surface,Sepulveda,AD200,Taupe,Color Way,AD200-1,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD200-1_Sepulveda_TAUPE.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ","Brown, Beige, Neutral",Sonora,woven,,,,,,,413.542,115.833,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Surface,Sepulveda,AD200,Greystone,Color Way,AD200-2,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD200-2_Sepulveda_GREYSTONE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD200-2_Sepulveda_GREYSTONE_install.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ","Black and White, Grey",Sonora,woven,,,,,,,413.542,115.833,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Surface,Sepulveda,AD200,Shade,Color Way,AD200-3,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD200-3_Sepulveda_SHADE.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,woven,,,,,,,413.542,115.833,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Surface,Wilshire,AD201,Rock,Color Way,AD201-1,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD201-1_Wilshire_ROCK.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD201-1_Wilshire_ROCK_install.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sandstone,woven,,,395,113,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Surface,Wilshire,AD201,Bisque,Color Way,AD201-2,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD201-2_Wilshire_BISQUE.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ","Neutral, Beige",Sandstone,woven,,,395,113,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Surface,Wilshire,AD201,Sepia,Color Way,AD201-3,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD201-3_Wilshire_SEPIA.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Neutral,Sandstone,woven,,,395,113,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface,La Brea,AD202,Rust,Color Way,AD202-1,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD202-1_La_Brea_RUST.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ","Brown, Beige, Neutral",Sandstone,woven,,,,,,,47.639,73.028,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface,La Brea,AD202,Patina,Color Way,AD202-2,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD202-2_La_Brea_PATINA.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Neutral,Sandstone,woven,,,,,,,47.639,73.028,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface,La Brea,AD202,Algae,Color Way,AD202-3,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD202-3_La_Brea_ALGAE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD202-3_La_Brea_ALGAE_install.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ","Blue, Green, Grey, Neutral",Sandstone,woven,,,,,,,47.639,73.028,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Surface,Melrose,AD203,Steel,Color Way,AD203-1,,"photographic, textural, faux, urban, texture, city, grungy, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface/AD203-1_Melrose_STEEL.jpg,,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Topeka,woven,,,,,,,159.25,87.333,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
