websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Panoramic Images,Digital,Murals,Wanderlust,"Amsterdam, Netherlands",101381,"Amsterdam, Netherlands",Master,101381,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Amsterdam, Building Exterior, Building Structure, Canal, Channel, Clear Sky, Color Image, Day, Europe, Mode Of Transport, Nautical Vessel, Netherlands, Nobody, Outdoors, Reflection, Tourboat, Tree, Urban Scene, Water, Water Vehicle, Waterfront, Waterway, Architecture, Capital Cities, Transportation, Travel, Travel Destinations",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/101381_Amsterdam_Netherlands_AMSTERDAMNETHERLANDS.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Taj Mahal, India",118694,"Taj Mahal, India",Master,118694,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Architecture, Dome, Facade, Feature, International Landmark, Islam, Minaret, Muslim, Reflection, Tourist, Tree, Water, Water Surface, Agra, Architectural Feature, Calm, Clear Sky, Famous Place, History, India, Indian Culture, Large Group Of People, Lawn, Mausoleum, Memorial, Monument, Mughal Empire, Outdoors, Past, Peacefulness, Place Of Burial, Plant, Pond, Symmetry, Taj Mahal, Tomb, Tower, Traditional Culture, Tranquility, Travel, Travel Destinations, UNESCO World Heritage Site, Uttar Pradesh, Vacations, Built Structure, Abstract, Alternative Process, Grainy, Tranquil Scene",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/118694_Taj_Mahal_India_TAJMAHALINDIA.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Ganges River, India",118695,"Ganges River, India",Master,118695,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Boat, Calm, Ganges River, Holy, Hindu, Hinduism, Holy River, In A Row, India, Indian Culture, Moored, Morning, Peacefulness, Pilgrimage, River, Row Boat, Side By Side, Tranquility, Uttar Pradesh, Varanasi, Color Image, Fog, Nature, Nautical Vessel, No People, Outdoors, Reflection, Rowboat, Scenics, Selective Focus, Transportation, Travel Destinations, Water, Water Surface, Water Vehicle, Wood, Peaceful, Serenity, Tranquil Scene, Sunrise, Dawn, Copy Space, Abstract, Alternative Process, Grainy",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/118695_Ganges_River_India_GANGESRIVERINDIA.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Lucky Bay, Australia",124429,"Lucky Bay, Australia",Master,124429,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Australia, National Park, Cliff, Cloud, Color Image, Day, Esperance, Horizon Over Water, Nature, No People, Non-Urban Scene, Oceania, Outdoors, Scenics, Seascape, Sky, Tranquil Scene, Travel Destinations, Water Surface, Western Australia, Cape Le Grand National Park, Lucky Bay",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/124429_Lucky_Bay_Australia_LUCKYBAYAUSTRALIA.jpg,,6.5,Square Foot,1,1,Photographic,Blue,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Amalfi Coast, Italy",125799,"Amalfi Coast, Italy",Master,125799,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, Amalfi, Amalfi Coast, Architecture, Atrani, Boat, Building Exterior, Campania, Color Image, Day, High Angle View, Italy, Mediterranean Countries, Mountain, Nature, No People, Outdoors, Panoramic, Salerno, Scenics, Sea, Sky, Town, Travel Destinations",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/125799_Amalfi_Coast_Italy_AMALFICOASTITALY.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,Big Sur at Dusk,128044,Big Sur at Dusk,Master,128044,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Big Sur, California, Cliff, Coast, Color Image, Day, Flower, Mountain, Nature, No People, Non-Urban Scene, Outdoors, Pacific Ocean, Plant, Scenics, Surf, Tranquil Scene, USA",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/128044_Big_Sur_at_Dusk_BIGSURATDUSK.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Giza, Egypt",128055,"Giza, Egypt",Master,128055,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Ancient Civilization, Ancient Egyptian Culture, Archaeological Site, Archaeology, Architecture, Color Image, Dusk, Egypt, Evening, Famous Place, Geometric Shape, Giza, History, Horizon Over Land, International Landmark, Majestic, Mediterranean Countries, Middle East, Monument, No People, Old Ruin, Outdoors, Purple, Pyramid, Silhouette, Sky, Sunset, Tranquil Scene, Travel Destinations, Triangle, Upper Egypt, Grainy",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/128055_Giza_Egypt_GIZAEGYPT.jpg,,6.5,Square Foot,1,1,Photographic,Purple,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Veidomoni Beach, Fiji",128952,"Veidomoni Beach, Fiji",Master,128952,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Beach, Blue, Coast, Color Image, Day, Fiji, Horizon Over Water, Island, Mamanuca Islands, Nature, No People, Non-Urban Scene, Oceania, Outdoors, Peacefulness, Scenics, Sky, Tranquil Scene, Tree, Turquoise, Matamanoa Island Resort, Veidomoni Beach",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/128952_Veidomoni_Beach_Fiji_VEIDOMONIBEACHFIJI.jpg,,6.5,Square Foot,1,1,Photographic,"Blue, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Mamanuca Islands, Fiji",128956,"Mamanuca Islands, Fiji",Master,128956,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Beach, Color Image, Day, Fiji, High Angle View, Mamanuca Islands, Nature, No People, Non-Urban Scene, Oceania, Outdoors, Pacific Ocean, Peacefulness, Scenics, Surf, Tide, Tranquil Scene, Turquoise, Waters Edge, Matamanoa Island Resort, Veidomoni Beach",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/128956_Mamanuca_Islands_Fiji_MAMANUCAISLANDSFIJI.jpg,,6.5,Square Foot,1,1,Photographic,"Blue, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Wanderlust,"Hopetown Falls, Australia",141755,"Hopetown Falls, Australia",Master,141755,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Australia, Color Image, Day, Falling, Forest, Great Ocean Road, Hopetown Falls, National Park, Natural Landmark, Nature, No People, Non-Urban Scene, Otway Ranges National Park, Outdoors, Rock, Rock Formation, Scenics, Tranquil Scene, Travel Destinations, Tree, Victoria, Waterfall",https://s3-us-west-2.amazonaws.com/astek-product-images/Wanderlust/141755_Hopetown_Falls_Australia_HOPETOWNFALLSAUSTRALIA.jpg,,6.5,Square Foot,1,1,Photographic,Green,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
