design_name,design_sku,variant_name,variant_sku,description
Pearl Herringbone Wallcovering,D801,Pearl Herringbone Wallcovering,D801,Shine and texure bring this delicate herringbone wallcovering to life.
Champagne Herringbone Wallcovering,D802,Champagne Herringbone Wallcovering,D802,Shine and texure bring this delicate herringbone wallcovering to life.
Copper Herringbone Wallcovering,D803,Copper Herringbone Wallcovering,D803,Shine and texure bring this delicate herringbone wallcovering to life.
Steel Herringbone Wallcovering,D804,Steel Herringbone Wallcovering,D804,Shine and texure bring this delicate herringbone wallcovering to life.
Silver Wavy Wallcovering,D805,Silver Wavy Wallcovering,D805,Undulating lines of delicate sheen and texture give this wallcovering a subtle sophistication.
Champagne Wavy Wallcovering,D806,Champagne Wavy Wallcovering,D806,Undulating lines of delicate sheen and texture give this wallcovering a subtle sophistication.
Grey Wavy Wallcovering,D807,Grey Wavy Wallcovering,D807,Undulating lines of delicate sheen and texture give this wallcovering a subtle sophistication.
Charcoal Wavy Wallcovering,D808,Charcoal Wavy Wallcovering,D808,Undulating lines of delicate sheen and texture give this wallcovering a subtle sophistication.
Silver Glitter Geometric Wallcovering,D809,Silver Glitter Geometric Wallcovering,D809,Texture and shine meet modern sophistication in this geometric wallcovering.
Grey Glitter Geometric Wallcovering,D810,Grey Glitter Geometric Wallcovering,D810,Texture and shine meet modern sophistication in this geometric wallcovering.
Gold Glitter Geometric Wallcovering,D811,Gold Glitter Geometric Wallcovering,D811,Texture and shine meet modern sophistication in this geometric wallcovering.
Charcoal Glitter Geometric Wallcovering,D812,Charcoal Glitter Geometric Wallcovering,D812,Texture and shine meet modern sophistication in this geometric wallcovering.
Silver Stripe Wallcovering,D813,Silver Stripe Wallcovering,D813,Alternating stripes of glittery texture and soft sheen give dimension to this luxe wallcovering.
Metal Stripe Wallcovering,D814,Metal Stripe Wallcovering,D814,Alternating stripes of glittery texture and soft sheen give dimension to this luxe wallcovering.
Champagne Stripe Wallcovering,D815,Champagne Stripe Wallcovering,D815,Alternating stripes of glittery texture and soft sheen give dimension to this luxe wallcovering.
Kohl Stripe Wallcovering,D816,Kohl Stripe Wallcovering,D816,Alternating stripes of glittery texture and soft sheen give dimension to this luxe wallcovering.
Jet Stripe Wallcovering,D817,Jet Stripe Wallcovering,D817,Alternating stripes of glittery texture and soft sheen give dimension to this luxe wallcovering.
Iron Optical Stripe Wallcovering,D818,Iron Optical Stripe Wallcovering,D818,This optic wallcovering features gradated stripes in a metal-like sheen.
Warm Grey Optical Stripe Wallcovering,D819,Warm Grey Optical Stripe Wallcovering,D819,This optic wallcovering features gradated stripes in a metal-like sheen.
Nickel Optical Stripe Wallcovering,D820,Nickel Optical Stripe Wallcovering,D820,This optic wallcovering features gradated stripes in a metal-like sheen.
Smoke Linework Wallcovering,D821,Smoke Linework Wallcovering,D821,"Fine lines intersect to create a dynamic, diamond pattern in this contemporary wallcovering."
Ash Linework Wallcovering,D822,Ash Linework Wallcovering,D822,"Fine lines intersect to create a dynamic, diamond pattern in this contemporary wallcovering."
Stone Linework Wallcovering,D823,Stone Linework Wallcovering,D823,"Fine lines intersect to create a dynamic, diamond pattern in this contemporary wallcovering."
Silver Squares Wallcovering,D824,Silver Squares Wallcovering,D824,This wallcovering features an allover pattern of mismatched squares and comes in a series of metal-like colorways.
Graphite Squares Wallcovering,D825,Graphite Squares Wallcovering,D825,This wallcovering features an allover pattern of mismatched squares and comes in a series of metal-like colorways.
Stone Squares Wallcovering,D826,Stone Squares Wallcovering,D826,This wallcovering features an allover pattern of mismatched squares and comes in a series of metal-like colorways.
Cloud Oxidized Wallcovering,D827,Cloud Oxidized Wallcovering,D827,This simple yet stunning wallcovering features subtle sheen and texure.
Champagne Oxidized Wallcovering,D828,Champagne Oxidized Wallcovering,D828,This simple yet stunning wallcovering features subtle sheen and texure.
Ash Oxidized Wallcovering,D829,Ash Oxidized Wallcovering,D829,This simple yet stunning wallcovering features subtle sheen and texure.
Gold Oxidized Wallcovering,D830,Gold Oxidized Wallcovering,D830,This simple yet stunning wallcovering features subtle sheen and texure.
Slate Oxidized Wallcovering,D831,Slate Oxidized Wallcovering,D831,This simple yet stunning wallcovering features subtle sheen and texure.
Silver Tile Wallcovering,D832,Silver Tile Wallcovering,D832,This wallcovering features tile-like motifs with a lovely metallic sheen.
Uranium Tile Wallcovering,D833,Uranium Tile Wallcovering,D833,This wallcovering features tile-like motifs with a lovely metallic sheen.
Gold Tile Wallcovering,D834,Gold Tile Wallcovering,D834,This wallcovering features tile-like motifs with a lovely metallic sheen.
Bronze Tile Wallcovering,D835,Bronze Tile Wallcovering,D835,This wallcovering features tile-like motifs with a lovely metallic sheen.
Gold Crinkle Wallcovering,D836,Gold Crinkle Wallcovering,D836,"This modern, sophisticated wallcovering has the apperance of crinkled metal."
Bronze Crinkle Wallcovering,D837,Bronze Crinkle Wallcovering,D837,"This modern, sophisticated wallcovering has the apperance of crinkled metal."
Steel Crinkle Wallcovering,D838,Steel Crinkle Wallcovering,D838,"This modern, sophisticated wallcovering has the apperance of crinkled metal."
