design_sku,design_name,variant_sku,variant_name,variant_type,description
BL101,Copper Mica Wallcovering,BL101,Copper Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL102,Bronze Mica Wallcovering,BL102,Bronze Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL103,White Gold Mica Wallcovering,BL103,White Gold Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL104,Yellow Gold Mica Wallcovering,BL104,Yellow Gold Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL105,Onyx Mica Wallcovering,BL105,Onyx Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL106,Titanium Mica Wallcovering,BL106,Titanium Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL107,Lavender Mica Wallcovering,BL107,Lavender Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL108,Burnt Umber Mica Wallcovering,BL108,Burnt Umber Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL109,Antique Gold Mica Wallcovering,BL109,Antique Gold Mica Wallcovering,Master,"Gorgeous flakes of mica offer texture, dimension, and sheen in this beautiful natural wallcovering."
BL110,Silver Stripe Mica Wallcovering,BL110,Silver Stripe Mica Wallcovering,Master,This sophisticated natural wallcovering features alternating stripes of mica and grasscloth. 
BL111,Copper Stripe Mica Wallcovering,BL111,Copper Stripe Mica Wallcovering,Master,This sophisticated natural wallcovering features alternating stripes of mica and grasscloth. 
BL112,Topaz Stripe Mica Wallcovering,BL112,Topaz Stripe Mica Wallcovering,Master,This sophisticated natural wallcovering features alternating stripes of mica and grasscloth. 
BL113,Gold Stripe Mica Wallcovering,BL113,Gold Stripe Mica Wallcovering,Master,This sophisticated natural wallcovering features alternating stripes of mica and grasscloth. 
BL114,Mocha Check Grasscloth,BL114,Mocha Check Grasscloth,Master,This refined grasscloth wallcovering features wide pieces of all-natural material constructed into a checkerboard pattern.
BL115,Beige Check Grasscloth,BL115,Beige Check Grasscloth,Master,This refined grasscloth wallcovering features wide pieces of all-natural material constructed into a checkerboard pattern.
BL116,Umber Check Grasscloth,BL116,Umber Check Grasscloth,Master,This refined grasscloth wallcovering features wide pieces of all-natural material constructed into a checkerboard pattern.
BL117,Cacao Check Grasscloth,BL117,Cacao Check Grasscloth,Master,This refined grasscloth wallcovering features wide pieces of all-natural material constructed into a checkerboard pattern.
BL118,Cumin Abstract Grasscloth,BL118,Cumin Abstract Grasscloth,Master,Natural materials come together in abstract shapes to create this contemporary and sleek grasscloth.
BL119,Cream Abstract Grasscloth,BL119,Cream Abstract Grasscloth,Master,Natural materials come together in abstract shapes to create this contemporary and sleek grasscloth.
BL120,Forest Abstract Grasscloth,BL120,Forest Abstract Grasscloth,Master,Natural materials come together in abstract shapes to create this contemporary and sleek grasscloth.
BL121,Lemongrass Abstract Grasscloth,BL121,Lemongrass Abstract Grasscloth,Master,Natural materials come together in abstract shapes to create this contemporary and sleek grasscloth.
BL122,Cinnamon Large Check Grasscloth,BL122,Cinnamon Large Check Grasscloth,Master,This modern and sophisticated grasscloth features a large check structure.
BL123,Gold Large Check Grasscloth,BL123,Gold Large Check Grasscloth,Master,This modern and sophisticated grasscloth features a large check structure.
BL124,Umber Large Check Grasscloth,BL124,Umber Large Check Grasscloth,Master,This modern and sophisticated grasscloth features a large check structure.
BL125,Steel Large Check Grasscloth,BL125,Steel Large Check Grasscloth,Master,This modern and sophisticated grasscloth features a large check structure.
BL126,Sage Large Check Grasscloth,BL126,Sage Large Check Grasscloth,Master,This modern and sophisticated grasscloth features a large check structure.
BL127,Cacao Diagonal Check Grasscloth,BL127,Cacao Diagonal Check Grasscloth,Master,Beautiful natural materials are woven into a diagonal check pattern in this contemporary grasscloth.
BL128,Vermilion Diagonal Check Grasscloth,BL128,Vermilion Diagonal Check Grasscloth,Master,Beautiful natural materials are woven into a diagonal check pattern in this contemporary grasscloth.
BL129,Cumin Diagonal Check Grasscloth,BL129,Cumin Diagonal Check Grasscloth,Master,Beautiful natural materials are woven into a diagonal check pattern in this contemporary grasscloth.
BL130,Beige Diagonal Check Grasscloth,BL130,Beige Diagonal Check Grasscloth,Master,Beautiful natural materials are woven into a diagonal check pattern in this contemporary grasscloth.
BL131,Cream Diagonal Check Grasscloth,BL131,Cream Diagonal Check Grasscloth,Master,Beautiful natural materials are woven into a diagonal check pattern in this contemporary grasscloth.
