websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_width_centimeters,roll_length_yards,roll_length_meters,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Crystal Clear Glitter,200-0112,Crystal Clear Glitter,Master,200-0112,,"transparent, Clear, glossy",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0112.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0112_install.jpg,60.00,Roll,1,1,Contemporary,Transparent - Glossy,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Stripes,200-0316,Stripes,Master,200-0316,,"stripe, stripes",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0316.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0316_install.jpg,60.00,Roll,1,1,Stripes + Plaids,"Clear, Grey",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Snow,200-0907,Snow,Master,200-0907,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0907.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0907_install.jpg,60.00,Roll,1,1,Faux Finish,"Transpartent, Neutral",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Perl,200-1506,Perl,Master,200-1506,,"circle, dots",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1506.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1506_install.jpg,60.00,Roll,1,1,Geometric,Grey,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Transparent Red,200-1964,Transparent Red,Master,200-1964,,"transparent, solid color",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1964.jpg,,60.00,Roll,1,1,Contemporary,Red,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Transparent Green,200-1965,Transparent Green,Master,200-1965,,"transparent, solid color",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1965.jpg,,60.00,Roll,1,1,Contemporary,Green,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Transparent Blue,200-1966,Transparent Blue,Master,200-1966,,"transparent, solid color",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1966.jpg,,60.00,Roll,1,1,Contemporary,Blue,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Transparent Yellow,200-1986,Transparent Yellow,Master,200-1986,,"transparent, solid color",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1986.jpg,,60.00,Roll,1,1,Contemporary,Yellow,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Circle,200-2031,Circle,Master,200-2031,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2031.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2031_install.jpg,60.00,Roll,1,1,Faux Finish,Off-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Lisboa Rot,200-2497,Lisboa Rot,Master,200-2497,,"floral, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2497.jpg,,60.00,Roll,1,1,Botanical,red flowers,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Embossed - Milky,200-2528,Embossed - Milky,Master,200-2528,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2528.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2528_install.jpg,60.00,Roll,1,1,Faux Finish,Off-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Embossed - Splinter,200-2535,Embossed - Splinter,Master,200-2535,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2535.jpg,,60.00,Roll,1,1,Faux Finish,Off-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Smoke ,200-2590,Smoke ,Master,200-2590,,"ripple, smoke, marble",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2590.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2590_install.jpg,60.00,Roll,1,1,Faux Finish,Off White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
