websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Pyrite,PL1101,Ebony and Black Velvet,Master,PL1101,,"geometry, stripes, zig zag, fractal, fragment, striped, linear, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1101.jpg,,265,Roll,1,1,"Geometric, Abstract, Contemporary",Black,,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Pyrite,PL1102,Plum and Black Velvet,Master,PL1102,,"geometry, stripes, zig zag, fractal, fragment, striped, linear, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1102.jpg,,265,Roll,1,1,"Geometric, Abstract, Contemporary","Purple, Black",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Pyrite,PL1103,White and White Velvet,Master,PL1103,,"geometry, stripes, zig zag, fractal, fragment, striped, linear, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1103.jpg,,265,Roll,1,1,"Geometric, Abstract, Contemporary","Cream, White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Pyrite,PL1104,Ebony and White Velvet,Master,PL1104,,"geometry, stripes, zig zag, fractal, fragment, striped, linear, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1104.jpg,,265,Roll,1,1,"Geometric, Abstract, Contemporary","Black, Off-White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Birds in Trees,PL1105,Ebony and White Velvet,Master,PL1105,,"floral, bird, birds, flowers, branches, vines, toile",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1105.jpg,,265,Roll,1,1,"Botanical, Animalia","Black, Off-White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Birds in Trees,PL1106,White and White Velvet,Master,PL1106,,"floral, bird, birds, flowers, branches, vines, toile",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1106.jpg,,265,Roll,1,1,"Botanical, Animalia","Cream, White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Birds in Trees,PL1107,Rose and Rose Velvet,Master,PL1107,,"floral, bird, birds, flowers, branches, vines, toile",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1107.jpg,,265,Roll,1,1,"Botanical, Animalia",Pink,,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Birds in Trees,PL1108,Plum and Black Velvet,Master,PL1108,,"floral, bird, birds, flowers, branches, vines, toile",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1108.jpg,,265,Roll,1,1,"Botanical, Animalia","Purple, Black",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,French Garden Damask,PL1109,Pewter and White Velvet,Master,PL1109,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1109.jpg,,265,Roll,1,1,"Traditional, Damask","Silver, Cream",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,French Garden Damask,PL1110,White and Plum Velvet,Master,PL1110,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1110.jpg,,265,Roll,1,1,"Traditional, Damask","Purple, White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,French Garden Damask,PL1111,Ebony and Black Velvet,Master,PL1111,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1111.jpg,,265,Roll,1,1,"Traditional, Damask",Black,,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,French Garden Damask,PL1112,White and Black Velvet,Master,PL1112,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1112.jpg,,265,Roll,1,1,"Traditional, Damask",Black and White,,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Symphony Damask,PL1113,Gold Leaf and Teal Velvet,Master,PL1113,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1113.jpg,,265,Roll,1,1,"Traditional, Damask","Blue, Gold",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Symphony Damask,PL1114,White and Beige Velvet,Master,PL1114,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1114.jpg,,265,Roll,1,1,"Traditional, Damask","Cream, White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Symphony Damask,PL1115,Ebony and White Velvet,Master,PL1115,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1115.jpg,,265,Roll,1,1,"Traditional, Damask","Black, Off-White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Symphony Damask,PL1116,Rose and Rose Velvet,Master,PL1116,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1116.jpg,,265,Roll,1,1,"Traditional, Damask",Pink,,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Heritage Damask,PL1117,White and Beige Velvet,Master,PL1117,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1117.jpg,,265,Roll,1,1,"Traditional, Damask","Cream, White",,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Plush,Heritage Damask,PL1118,Rose and Rose Velvet,Master,PL1118,,"damask, brocade, diamond, flourish, classical",https://s3-us-west-2.amazonaws.com/astek-product-images/Plush/PL1118.jpg,,265,Roll,1,1,"Traditional, Damask",Pink,,Paper,30,15,,,,,27,27,Straight,27,14,Paste the Paper,Strippable ,Light Vacuum,Good,ASTM E84 Class A ,Flock,1.5,No
