design_sku,design_name,description
CT101,Iridescent Texture - Silver,"This beautiful wallcovering features an iridescent, organic texture."
CT102,Iridescent Texture - Taupe,"This beautiful wallcovering features an iridescent, organic texture."
CT103,Iridescent Texture - Pearl,"This beautiful wallcovering features an iridescent, organic texture."
CT104,Wingspan - Blue,Our Wingspan wallcovering features a beautiful feather pattern with texture you can both see and feel.
CT105,Wingspan - Black,Our Wingspan wallcovering features a beautiful feather pattern with texture you can both see and feel.
CT106,Wingspan - Champagne,Our Wingspan wallcovering features a beautiful feather pattern with texture you can both see and feel.
CT107,Wingspan - Taupe,Our Wingspan wallcovering features a beautiful feather pattern with texture you can both see and feel.
CT108,Semiplume - Turquoise,Our Semiplume wallcovering features a beautiful feather pattern with textural details you can both see and feel.
CT109,Semiplume - Champagne,Our Semiplume wallcovering features a beautiful feather pattern with textural details you can both see and feel.
CT110,Semiplume - Green,Our Semiplume wallcovering features a beautiful feather pattern with textural details you can both see and feel.
CT111,Crosshatch - Grey,This wallcovering features a subtle design and texture reminiscent of a woven textile.
CT112,Crosshatch - Ochre,This wallcovering features a subtle design and texture reminiscent of a woven textile.
CT113,Crosshatch - Cream,This wallcovering features a subtle design and texture reminiscent of a woven textile.
CT114,Sketched Circles - Pearl,"These delicate circles appear almost hand etched into this textural, iridescent wallcovering."
CT115,Sketched Circles - Champagne,"These delicate circles appear almost hand etched into this textural, iridescent wallcovering."
CT116,Sketched Circles - Taupe,"These delicate circles appear almost hand etched into this textural, iridescent wallcovering."
CT117,Sketch - Tan,Organic marks give relief and texture to our Sketch wallcovering.
CT118,Sketch - Taupe,Organic marks give relief and texture to our Sketch wallcovering.
CT119,Sketch - Grey,Organic marks give relief and texture to our Sketch wallcovering.
CT120,Pumice - Sand,This textural wallcovering lends a subtle and modern aesthetic to spaces.
CT121,Pumice - Taupe,This textural wallcovering lends a subtle and modern aesthetic to spaces.
CT122,Pumice - Black,This textural wallcovering lends a subtle and modern aesthetic to spaces.
CT123,Drapery - Champagne,Gradients of shadow and light give this wallcovering the appearance of draped fabric.
CT124,Drapery - Pearl,Gradients of shadow and light give this wallcovering the appearance of draped fabric.
CT125,Drapery - Gold,Gradients of shadow and light give this wallcovering the appearance of draped fabric.
CT126,Refract - Pearl,"Our Refract wallcovering features an elegant, sunburst motif."
CT127,Refract - Copper,"Our Refract wallcovering features an elegant, sunburst motif."
CT128,Refract - Taupe,"Our Refract wallcovering features an elegant, sunburst motif."
CT129,Spackle - Charcoal,"This iridescent, textural wallcovering adds depth and intrigue to spaces."
CT130,Spackle - Taupe,"This iridescent, textural wallcovering adds depth and intrigue to spaces."
CT131,Spackle - Cream,"This iridescent, textural wallcovering adds depth and intrigue to spaces."
CT132,Petal Chevron - Cream,"This wallcovering features a pretty, tonal chevron."
CT133,Petal Chevron - Umber,"This wallcovering features a pretty, tonal chevron."
CT134,Petal Chevron - Chestnut,"This wallcovering features a pretty, tonal chevron."
CT135,Reptile - White,Our Reptile wallcovering mimics the look and feel of snake or crocodile skin.
CT136,Reptile - Chestnut,Our Reptile wallcovering mimics the look and feel of snake or crocodile skin.
CT137,Reptile - Ash,Our Reptile wallcovering mimics the look and feel of snake or crocodile skin.
CT138,Fluctuate - Sand,"Our Fluctuate wallcovering features subtle, undulating texture. "
CT139,Fluctuate - Cream,"Our Fluctuate wallcovering features subtle, undulating texture. "
CT140,Fluctuate - Ash,"Our Fluctuate wallcovering features subtle, undulating texture. "
CT141,Whirl - Graphite,"Subtle, swirling texture makes this wallcovering both interesting and easy to style."
CT142,Whirl - Soft Grey,"Subtle, swirling texture makes this wallcovering both interesting and easy to style."
CT143,Whirl - Beige,"Subtle, swirling texture makes this wallcovering both interesting and easy to style."
CT144,Curvature - Charcoal,This textural wallcovering features a deep relief in an elegant Art Deco inspired pattern.
CT145,Curvature - Champagne,This textural wallcovering features a deep relief in an elegant Art Deco inspired pattern.
