websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Submerged,Adrift,AD252,Ink,Color Way,AD252-1,Hand carved and printed wood blocks create the undulating movement in Adrift. The subtle imperfections of this printing method create the illusion of waves in a storm.,"ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD252-1_Adrift_INK.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD252-1_Adrift_INK_install.jpg,5.99,Square Foot,1,1,"Illustrative, Painterly",Black and White,White Mylar,,,,,,,,40,27.8,Straight,40,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Adrift,AD252,Marine,Color Way,AD252-2,Hand carved and printed wood blocks create the undulating movement in Adrift. The subtle imperfections of this printing method create the illusion of waves in a storm.,"ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD252-2_Adrift_MARINE.jpg,,5.99,Square Foot,1,1,"Illustrative, Painterly",Blue,White Mylar,,,,,,,,40,27.8,Straight,40,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Adrift,AD252,Ocean,Color Way,AD252-3,Hand carved and printed wood blocks create the undulating movement in Adrift. The subtle imperfections of this printing method create the illusion of waves in a storm.,"ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD252-3_Adrift_OCEAN.jpg,,5.99,Square Foot,1,1,"Illustrative, Painterly","Blue, Green",White Mylar,,,,,,,,40,27.8,Straight,40,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Anenome,AD253,Abyss,Color Way,AD253-1,"In Anemone, soft and watery shapes reveal swirling tides and inspired aquatic life. The colors blend and bleed together creating a watery and soothing aesthetic.","ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD253-1_Anemone_ABYSS.jpg,,5.99,Square Foot,1,1,"Illustrative, Painterly","Black, Black and White",White Mylar,,,,,,,,52,16,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Anenome,AD253,Pool,Color Way,AD253-2,"In Anemone, soft and watery shapes reveal swirling tides and inspired aquatic life. The colors blend and bleed together creating a watery and soothing aesthetic.","ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD253-2_Anemone_POOL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD253-2_Anemone_POOL_install.jpg,5.99,Square Foot,1,1,"Illustrative, Painterly",Blue,White Mylar,,,,,,,,52,16,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Anenome,AD253,Shell,Color Way,AD253-3,"In Anemone, soft and watery shapes reveal swirling tides and inspired aquatic life. The colors blend and bleed together creating a watery and soothing aesthetic.","ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD253-3_Anemone_SHELL.jpg,,5.99,Square Foot,1,1,"Illustrative, Painterly","Pink, Blue, Beige, Off-White",White Mylar,,,,,,,,52,16,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Current,AD254,Bay,Color Way,AD254-1,Light bounces and reflects off the water's surface in Current. The viewpoint from above creates a seemingly tangible and dimensional quality.,"ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD254-1_Current_BAY.jpg,,5.99,Square Foot,1,1,"Illustrative, Painterly",Blue,White Mylar,,,,,,,,13,13.34,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Current,AD254,Harbor,Color Way,AD254-2,Light bounces and reflects off the water's surface in Current. The viewpoint from above creates a seemingly tangible and dimensional quality.,"ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD254-2_Current_HARBOR.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD254-2_Current_HARBOR_install.jpg,5.99,Square Foot,1,1,"Illustrative, Painterly",Green,White Mylar,,,,,,,,13,13.34,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Current,AD254,Tropic,Color Way,AD254-3,Light bounces and reflects off the water's surface in Current. The viewpoint from above creates a seemingly tangible and dimensional quality.,"ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD254-3_Current_TROPIC.jpg,,5.99,Square Foot,1,1,"Illustrative, Painterly",Blue,White Mylar,,,,,,,,13,13.34,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Submerged,Kelp Tangle,AD255,Aquarius,Color Way,AD255-1,"In Kelp Tangle, a tapestry of seaweed emerges from naive yet playful drawings. The simplicity exudes a pleasant charm to this under-the-sea exploration.","ocean, wave, sea, ripple, aquatic, marine, sea",https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD255-1_Kelp_Tangle_AQUARIUS.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Submerged/AD255-1_Kelp_Tangle_AQUARIUS_install.jpg,5.99,Square Foot,1,1,"Illustrative, Painterly",Green,White Mylar,,,,,,,,13,8.78,Straight,52,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
