design_sku,design_name,description
DE501,Quilted Vinyl - Gold,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE502,Quilted Vinyl - Silver,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE503,Quilted Vinyl - Brass,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE504,Quilted Vinyl - Black,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE505,Quilted Vinyl - White,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE506,Quilted Vinyl - Red,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE507,Quilted Vinyl - Platinum,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE508,Corrugated - Silver,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE509,Corrugated - Brass,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE510,Corrugated - Bronze,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE511,Corrugated - Gold,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE512,Corrugated - White,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE513,Corrugated - Charcoal,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE514,Corrugated - Red,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE515,Corrugated - Black,"This embossed, vinyl wallcovering delivers a beautiful shine and defined texture."
DE516,Metal - White,"This high-shine, vinyl wallcovering has a mirror-like surface."
DE517,Metal - Gold,"This high-shine, vinyl wallcovering has a mirror-like surface."
DE518,Metal - Silver,"This high-shine, vinyl wallcovering has a mirror-like surface."
DE519,Metal - Black,"This high-shine, vinyl wallcovering has a mirror-like surface."
DE520,Brushed Metal - Silver,"This high-shine, vinyl wallcovering has a brushed metal appearance."
DE521,Brushed Metal - Gold,"This high-shine, vinyl wallcovering has a brushed metal appearance."
DE522,Brushed Metal - Bronze,"This high-shine, vinyl wallcovering has a brushed metal appearance."
DE523,Brushed Metal - Champagne,"This high-shine, vinyl wallcovering has a brushed metal appearance."
DE524,Croc - Red,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE525,Croc - Silver,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE526,Croc - Gold,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE527,Croc - Black,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE528,Croc - White,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE529,Croc - Beige,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE530,Croc - Navy,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.
DE531,Embossed Metal - Champagne,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE532,Embossed Metal - Bue,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE533,Embossed Metal - Gold,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE534,Embossed Metal - Steel,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE535,Embossed Metal - Silver,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE536,Embossed Metal - Brass,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE537,Embossed Metal - Copper,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.
DE538,Metallic Textile - Stone,The texture in our Metallic Textile wallcovering mimics that of a woven textile.
DE539,Metallic Textile - Brass,The texture in our Metallic Textile wallcovering mimics that of a woven textile.
DE540,Metallic Textile - Copper,The texture in our Metallic Textile wallcovering mimics that of a woven textile.
DE541,Metallic Textile - Gold,The texture in our Metallic Textile wallcovering mimics that of a woven textile.
DE542,Metallic Textile - Silver,The texture in our Metallic Textile wallcovering mimics that of a woven textile.
DE543,Metallic Textile - Nickel,The texture in our Metallic Textile wallcovering mimics that of a woven textile.
