design_sku,design_name,variant_sku,variant_name,description
ER101,Mica and Paper Twine - Bronze,ER101,Mica and Paper Twine - Bronze,This natural wallcovering features alternating stripes of mica and plant fibers in an elegant bronze hue.
ER102,Banana Bark and Paper Twine - Pearlescent,ER102,Banana Bark and Paper Twine - Pearlescent,"This unique, natural wallcovering features woven banana bark in a pleasing palette of earthy lavender and taupe."
ER103,Water Hyacinth - Tan,ER103,Water Hyacinth - Tan,This earthy wallcovering features handwoven hyacinth fibers in a versatile tan hue. 
ER104,Water Hyacinth - Camel,ER104,Water Hyacinth - Camel,"This natural wallcovering features handwoven hyacinth fibers in a versatile, earthy hue. "
ER105,Water Hyacinth - Tussock,ER105,Water Hyacinth - Tussock,"This natural wallcovering features handwoven hyacinth fibers in a versatile, earthy hue. "
ER106,Water Hyacinth - Sienna,ER106,Water Hyacinth - Sienna,"This natural wallcovering features handwoven hyacinth fibers in a versatile, earthy hue. "
ER107,Water Hyacinth - Lion,ER107,Water Hyacinth - Lion,"This natural wallcovering features handwoven hyacinth fibers in a versatile, earthy hue. "
ER108,Hyacinth - Brown,ER108,Hyacinth - Brown,"Natural hyacinth fibers are skillfully assembled to create this beautiful, earthy wallcovering."
ER109,Hyacinth - Chocolate Brown,ER109,Hyacinth - Chocolate Brown,"Natural hyacinth fibers are skillfully assembled to create this beautiful, earthy wallcovering."
ER110,Hyacinth - Shimmery Pearl,ER110,Hyacinth - Shimmery Pearl,"Natural hyacinth fibers are skillfully assembled to create this beautiful, earthy wallcovering."
ER111,Hyacinth - Seagreen,ER111,Hyacinth - Seagreen,"Natural hyacinth fibers are skillfully assembled to create this beautiful, earthy wallcovering."
ER112,Abaca - Cool Grey,ER112,Abaca - Cool Grey,"This wallcovering features fine natural fibers woven into a simple, versatile texture."
ER113,Abaca - Warm Grey,ER113,Abaca - Warm Grey,"This wallcovering features fine natural fibers woven into a simple, versatile texture."
ER114,Manila Hemp - Tan,ER114,Manila Hemp - Tan,"This simple, natural wallcovering features fine hemp fibers in a versatile neutral tone."
ER115,Manila Hemp - Beige,ER115,Manila Hemp - Beige,"This simple, natural wallcovering features fine hemp fibers in a versatile neutral tone."
ER116,Manila Hemp - Cream,ER116,Manila Hemp - Cream,"This simple, natural wallcovering features fine hemp fibers in a versatile neutral tone."
ER117,Sisal - Ivory on Gold,ER117,Sisal - Ivory on Gold,This natural wallcovering features delicate sisal strands atop a beautiful golden ground.
ER118,Sisal - Copper Gold,ER118,Sisal - Copper Gold,This golden copper natural wallcovering exudes warmth and sophistication.
ER119,Sisal - Multicolor Gold,ER119,Sisal - Multicolor Gold,This intriguing natural wallcovering features variegated sisal fiber atop a yellow gold ground.
ER120,Sisal - Burnt Orange,ER120,Sisal - Burnt Orange,This grasscloth wallcovering features a pleasing natural texture in a burnt orange hue.
ER121,Sisal - Caramel Brown,ER121,Sisal - Caramel Brown,This grasscloth wallcovering features a pleasing natural texture in a caramel brown hue.
ER122,Sisal - Dark Denim,ER122,Sisal - Dark Denim,This grasscloth wallcovering features a pleasing natural texture in a charcoal hue.
ER123,Sisal - Light Denim,ER123,Sisal - Light Denim,Silvery blue fibers are woven together by hand to create this exquisite natural wallcovering.
ER124,Sisal - Silver,ER124,Sisal - Silver,Pearly taupe fibers are woven together by hand to create this exquisite natural wallcovering.
ER125,Sisal - Peach,ER125,Sisal - Peach,Golden fibers are woven together by hand to create this exquisite natural wallcovering.
ER126,Sisal - Moss Green,ER126,Sisal - Moss Green,Bold chartreuse fibers are woven together by hand to create this beautiful natural wallcovering.
ER127,Fine Arrowroot - Speckled White,ER127,Fine Arrowroot - Speckled White,"This handcrafted grasscloth wallcovering features pleasing tones of beige, cream, and pearl."
ER128,Fine Arrowroot - Yellow Ivory,ER128,Fine Arrowroot - Yellow Ivory,"This handcrafted grasscloth wallcovering features pleasing tones of beige, cream, and pearl."
ER129,Fine Arrowroot - Maroon,ER129,Fine Arrowroot - Maroon,"This handcrafted grasscloth wallcovering features strking tones of maroon, rust, and pink."
ER130,Fine Arrowroot - Beige,ER130,Fine Arrowroot - Beige,"This handcrafted grasscloth wallcovering features nature-inspired tones of sand, cinnamon, and pearl."
ER131,Fine Arrowroot - Ivory,ER131,Fine Arrowroot - Ivory,"This handcrafted grasscloth wallcovering features pleasing tones of beige, cream, and pearl."
ER132,Fine Arrowroot - Silver Grey,ER132,Fine Arrowroot - Silver Grey,"This handcrafted grasscloth wallcovering features pleasing tones of beige, off-white, and pearl."
ER133,Fine Arrowroot - Golden Yellow,ER133,Fine Arrowroot - Golden Yellow,"This handcrafted grasscloth wallcovering features uplifting tones of yellow, gold, and pearl."
ER134,Fine Arrowroot - Light Blue Denim,ER134,Fine Arrowroot - Light Blue Denim,"This handcrafted grasscloth wallcovering features soothing tones of silver, ash, and denim."
ER135,Fine Arrowroot - Blue Denim,ER135,Fine Arrowroot - Blue Denim,"This handcrafted grasscloth wallcovering features soothing tones of silver, ash, and denim."
ER136,Fine Arrowroot - Dark Blue Denim,ER136,Fine Arrowroot - Dark Blue Denim,"This handcrafted grasscloth wallcovering features soothing tones of silver, ash, and charcoal."
ER137,Grasscloth - Tan on White,ER137,Grasscloth - Tan on White,Woven rustic tan fibers atop a contrasting cream ground create a subtle stripe effect in this natural wallcovering.
ER138,Grasscloth - Tan on Buttercream,ER138,Grasscloth - Tan on Buttercream,Fibers in variegated tones of beige and cream are expertly woven together to create this beautiful grasscloth wallcovering.
ER139,Grasscloth - Tan on Black,ER139,Grasscloth - Tan on Black,Fibers in variegated tones of tan and charcoal are expertly woven together to create this intriguing grasscloth wallcovering.
ER140,Grasscloth - Beige on Tan,ER140,Grasscloth - Beige on Tan,"Natural fibers in tones of tan, cream, and beige are expertly woven together to create this lovely grasscloth wallcovering."
ER141,Grasscloth - Tan on Ivory,ER141,Grasscloth - Tan on Ivory,Natural fibers in variegated widths and densities are expertly woven together to create this unique grasscloth wallcovering.
ER142,Heavy Jute - Ivory on Silver,ER142,Heavy Jute - Ivory on Silver,Fine cream fibers float atop a silver ground in this etheral grasscloth wallcovering.
ER143,Heavy Jute - Brown on Gold,ER143,Heavy Jute - Brown on Gold,Cinnamon brown fibers float atop a yellow gold ground in this special grasscloth wallcovering.
ER144,Heavy Jute - Maroon,ER144,Heavy Jute - Maroon,"Fibers in shades of maroon, burgundy, and rose are expertly woven together to create this striking grasscloth wallcovering."
