websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - White,200-0100,Matte - White,Master,200-0100,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0100.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0100_install.jpg,60.00,Roll,1,1,Contemporary,White,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Sky Blue,200-0107,Matte - Sky Blue,Master,200-0107,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0107.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0107_install.jpg,60.00,Roll,1,1,Contemporary,Blue,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Deep Red,200-0108,Matte - Deep Red,Master,200-0108,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0108.jpg,,60.00,Roll,1,1,Contemporary,Red,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Hunter Green,200-0109,Matte - Hunter Green,Master,200-0109,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0109.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0109_install.jpg,60.00,Roll,1,1,Contemporary,Green,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Black,200-0111,Matte - Black,Master,200-0111,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0111.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0111_install.jpg,60.00,Roll,1,1,Contemporary,Black,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Ceylon Yellow,200-0895,Matte - Ceylon Yellow,Master,200-0895,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0895.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0895_install.jpg,60.00,Roll,1,1,Contemporary,Yellow,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Royal Blue,200-0897,Matte - Royal Blue,Master,200-0897,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0897.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-0897_install.jpg,60.00,Roll,1,1,Contemporary,Blue,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Vermilion,200-1268,Matte - Vermilion,Master,200-1268,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1268.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1268_install.jpg,60.00,Roll,1,1,Contemporary,Red,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Glossy - Black,200-1272,Glossy - Black,Master,200-1272,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1272.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1272_install.jpg,60.00,Roll,1,1,Contemporary,Black,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Glossy - White,200-1273,Glossy - White,Master,200-1273,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1273.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1273_install.jpg,60.00,Roll,1,1,Contemporary,White,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Glossy - Deep Red,200-1274,Glossy - Deep Red,Master,200-1274,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1274.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1274_install.jpg,60.00,Roll,1,1,Contemporary,Red,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Glossy - Golden Yellow,200-1276,Glossy - Golden Yellow,Master,200-1276,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1276.jpg,,60.00,Roll,1,1,Contemporary,"Yellow, Orange",,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Japanese Elm,200-1604,Japanese Elm,Master,200-1604,,"wood, wood grain, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1604.jpg,,60.00,Roll,1,1,Faux Finish,Brown,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Walnut,200-1682,Walnut,Master,200-1682,,"wood, wood grain, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1682.jpg,,60.00,Roll,1,1,Faux Finish,Brown,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Glossy - Royal Blue,200-1687,Glossy - Royal Blue,Master,200-1687,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1687.jpg,,60.00,Roll,1,1,Contemporary,Blue,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Glossy - Slate Blue,200-1687,Glossy - Slate Blue,Master,200-1687,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1700.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1700_install.jpg,60.00,Roll,1,1,Contemporary,Blue,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Blackwood,200-1700,Blackwood,Master,200-1700,,"wood, wood grain, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1728.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1728_install.jpg,60.00,Roll,1,1,Faux Finish,"Brown, Black",,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Matte - Bordeaux,200-1829,Matte - Bordeaux,Master,200-1829,,"solid, solid color, contact paper, self-adhesive",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1829.jpg,,60.00,Roll,1,1,Contemporary,Red,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Contact Paper,Contact Paper,Walnut,200-1844,Walnut,Master,200-1844,,"wood, wood grain, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Contact_Paper/200-1844.jpg,,60.00,Roll,1,1,Faux Finish,Brown,,Adhesive,17.72,16.4,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
