design_name,design_sku,variant_name,variant_sku,description
Earthly Delights | Silver Cork,ED101,Earthly Delights | Silver Cork,ED101,"This authentic cork wallcovering, harvested from the cork oak tree, is made extra special thanks to its metallic hue."
Earthly Delights | Pewter Cork,ED102,Earthly Delights | Pewter Cork,ED102,"This authentic cork wallcovering, harvested from the cork oak tree, is made extra special thanks to its metallic hue."
Earthly Delights | Smoky Cork,ED103,Earthly Delights | Smoky Cork,ED103,"This authentic cork wallcovering, harvested from the cork oak tree, is made extra special thanks to its metallic hue."
Earthly Delights | Navy Mica,ED104,Earthly Delights | Navy Mica,ED104,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering. This mica wallcovering comes in a sophisticated navy hue."
Earthly Delights | Jet Cork,ED105,Earthly Delights | Jet Cork,ED105,"This authentic cork wallcovering, harvested from cork oak trees, is finished in a beautiful metallic hue."
Earthly Delights | Topaz Cork,ED106,Earthly Delights | Topaz Cork,ED106,"This authentic cork wallcovering, harvested from cork oak trees, is finished in a beautiful metallic hue."
Earthly Delights | Platinum Mica,ED107,Earthly Delights | Platinum Mica,ED107,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering. This mica wallcovering comes in a classy platinum hue."
Earthly Delights | Ivory Mica,ED108,Earthly Delights | Ivory Mica,ED108,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering. This mica wallcovering gently refracts light and comes in a classic ivory hue."
Earthly Delights | Gold Mica,ED109,Earthly Delights | Gold Mica,ED109,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering material. This gold mica wallcovering makes a luxe visual statement."
Earthly Delights | Copper Mica,ED110,Earthly Delights | Copper Mica,ED110,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering material. This copper mica wallcovering has beautiful dimension and shine."
Earthly Delights | Kohl Mica,ED111,Earthly Delights | Kohl Mica,ED111,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering material. This mica wallcovering comes in a versatile khol grey color."
Earthly Delights | Sky Mica,ED112,Earthly Delights | Sky Mica,ED112,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering material. This mica wallcovering gently refracts light in a silvery blue tone."
Earthly Delights | Cacao Mica,ED113,Earthly Delights | Cacao Mica,ED113,"Mica, a mineral formed out of a chemical reaction between quartz and granite, makes for a dazzling and chic wallcovering material. This mica wallcovering comes in a rich, chocolate hue."
Earthly Delights | Indigo Silk,ED114,Earthly Delights | Indigo Silk,ED114,Woven raw silk gives this wallcovering an organic yet luxurious feel.
Earthly Delights | White Silk,ED115,Earthly Delights | White Silk,ED115,Woven raw silk gives this wallcovering an organic yet luxurious feel.
Earthly Delights | Beige Silk,ED116,Earthly Delights | Beige Silk,ED116,Woven raw silk gives this wallcovering an organic yet luxurious feel.
Earthly Delights | Onyx Silk,ED117,Earthly Delights | Onyx Silk,ED117,Woven raw silk gives this wallcovering an organic yet luxurious feel.
Earthly Delights | Beige Linen,ED118,Earthly Delights | Beige Linen,ED118,This woven linen wallcovering features beautiful natural texture and color.
Earthly Delights | Desert Linen,ED119,Earthly Delights | Desert Linen,ED119,This woven linen wallcovering features beautiful natural texture and color.
Earthly Delights | Vermilion Silk,ED120,Earthly Delights | Vermilion Silk,ED120,Woven raw silk gives this wallcovering an organic yet luxurious feel.
Earthly Delights | Silver Flecked Cork,ED121,Earthly Delights | Silver Flecked Cork,ED121,This authentic burled cork wallcovering features flecks of metallic.
