design_sku,design_name,description
219530,Fine Knit - Grey,This wallcovering mimics the subtle texture and color of tightly knit fabric.
219531,Fine Knit - Taupe,This wallcovering mimics the subtle texture and color of tightly knit fabric.
219532,Fine Knit - Tan,This wallcovering mimics the subtle texture and color of tightly knit fabric.
219534,Fine Knit - Pink,This wallcovering mimics the subtle texture and color of tightly knit fabric.
219535,Fine Knit - Mist,This wallcovering mimics the subtle texture and color of tightly knit fabric.
219536,Fine Knit - Charcoal,This wallcovering mimics the subtle texture and color of tightly knit fabric.
219540,Parlor Palm - Taupe,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219541,Parlor Palm - Tan,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219542,Parlor Palm - Sky,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219543,Parlor Palm - Neutral,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219544,Parlor Palm - Green,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219545,Parlor Palm - Night,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219546,Parlor Palm - Blush,Layered palm leaves softly drift in and out of focus in this lovely wallcovering.
219547,Ghost Palm - Taupe,"This ethereal wallcovering design features subtle, silhouetted palm leaves."
219549,Ghost Palm - Cream,"This ethereal wallcovering design features subtle, silhouetted palm leaves."
219550,Ghost Palm - Blush,"This ethereal wallcovering design features subtle, silhouetted palm leaves."
219551,Ghost Palm - Mist,"This ethereal wallcovering design features subtle, silhouetted palm leaves."
219552,Ghost Palm - Charcoal,"This ethereal wallcovering design features subtle, silhouetted palm leaves."
219560,Cube - Soft Grey,This minimal cube pattern exudes a modern and clean aesthetic. 
219561,Cube - Black,This minimal cube pattern exudes a modern and clean aesthetic. 
219564,Cube - Cream,This minimal cube pattern exudes a modern and clean aesthetic. 
219570,Hex Palm - Green,"Hexagonal windows reveal vignettes of palm leaves in a soft, airy palette."
219572,Hex Palm - Sand,"Hexagonal windows reveal vignettes of palm leaves in a soft, airy palette."
219573,Hex Palm - Blue,"Hexagonal windows reveal vignettes of palm leaves in a soft, airy palette."
219574,Hex Palm - Grey,"Hexagonal windows reveal vignettes of palm leaves in a soft, airy palette."
219580,Hexagon - White,This textured wallcovering features a dimensional hexagon pattern.
219581,Hexagon - Charcoal,This textured wallcovering features a dimensional hexagon pattern.
219582,Hexagon - Navy,This textured wallcovering features a dimensional hexagon pattern.
219583,Hexagon - Soft Grey,This textured wallcovering features a dimensional hexagon pattern.
219584,Hexagon - Blush,This textured wallcovering features a dimensional hexagon pattern.
219585,Hexagon - Black,This textured wallcovering features a dimensional hexagon pattern.
219586,Hexagon - Green,This textured wallcovering features a dimensional hexagon pattern.
219587,Hexagon - Ochre,This textured wallcovering features a dimensional hexagon pattern.
219588,Hexagon - Grey,This textured wallcovering features a dimensional hexagon pattern.
219589,Hexagon - Warm Grey,This textured wallcovering features a dimensional hexagon pattern.
219590,Drapery - White,Featuring subtle shifts in light and shadow this wallcovering has the look of draped silk.
219591,Drapery - Pink,Featuring subtle shifts in light and shadow this wallcovering has the look of draped silk.
219592,Drapery - Blue,Featuring subtle shifts in light and shadow this wallcovering has the look of draped silk.
219600,Wire Form - White,This dimensional wallcovering features a hexagonal pattern overlayed on a shaded background. 
219601,Wire Form - Pink,This dimensional wallcovering features a hexagonal pattern overlayed on a shaded background. 
219602,Wire Form - Blue,This dimensional wallcovering features a hexagonal pattern overlayed on a shaded background. 
219603,Wire Form - Black,This dimensional wallcovering features a hexagonal pattern overlayed on a shaded background. 
219604,Wire Form - Mist,This dimensional wallcovering features a hexagonal pattern overlayed on a shaded background. 
219610,Faux Grasscloth - Grey,This faux grasscloth features a beautiful texture and dimension.
219611,Faux Grasscloth - Green,This faux grasscloth features a beautiful texture and dimension.
219612,Faux Grasscloth - Cloud,This faux grasscloth features a beautiful texture and dimension.
219613,Faux Grasscloth - Blue,This faux grasscloth features a beautiful texture and dimension.
219614,Faux Grasscloth - Tan,This faux grasscloth features a beautiful texture and dimension.
219615,Faux Grasscloth - Blush,This faux grasscloth features a beautiful texture and dimension.
219616,Faux Grasscloth - Brown,This faux grasscloth features a beautiful texture and dimension.
219620,Wire Hex - Grey,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
219621,Wire Hex - Green,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
219622,Wire Hex - Soft Grey,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
219623,Wire Hex - Blue,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
219624,Wire Hex - Tan,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
219625,Wire Hex - Blush,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
219626,Wire Hex - Brown,Grasscloth texture is overlaid with a woven wire pattern in this contemporary wallcovering.
