websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Panoramic Images,Digital,Murals,Urbana,London Midday,101830,London Midday,Master,101830,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Arch Bridge, Big Ben, Boat, Building Exterior, Building Structure, City, City Of London, Clock, Clock Tower, Cloud, Color Image, England, Europe, Famous Place, Gothic Style, Government Building, Houses Of Parliament, International Landmark, London, Metropolis, Mode Of Transport, Nautical Vessel, Nobody, Outdoors, Parliament Building, River, Sky, Sunset, Dusk, Evening, Thames River, Time, United Kingdom, Urban Scene, Water, Water Vehicle, Westminster, Westminster Bridge, Architecture, British Culture, Capital Cities, City Location, Connection, Government, Transportation, Travel, Travel Destinations",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/101830_London_Midday_LONDONMIDDAY.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,London at Dusk,101831,London at Dusk,Master,101831,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Arch Bridge, Big Ben, Building Exterior, Building Structure, City, City Of London, Clock, Clock Tower, Cloud, Color Image, England, Europe, Famous Place, Gothic Style, Government Building, Houses Of Parliament, International Landmark, London, Metropolis, Nobody, Outdoors, Parliament Building, River, Sky, Sunset, Dusk, Evening, Thames River, Time, United Kingdom, Urban Scene, Water, Westminster, Westminster Bridge, Architecture, British Culture, Capital Cities, City Location, Connection, Government, Travel Destinations",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/101831_London_at_Dusk_LONDONATDUSK.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Baltimore,104317,Baltimore,Master,104317,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Architecture, Baltimore, Building Exterior, Building Structure, City, City Location, Cityscape, Famous Place, Inlet, Maryland, Modern, Sea, Sky, Skyline, Skyscraper, Travel Destinations, Urban Scene, USA, Water, Color Image, Day, Harbor, High Angle View, Inner Harbor, No People, Outdoors",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/104317_Baltimore_BALTIMORE.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Venice,107056,Venice,Master,107056,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Boat, Building Exterior, Building Structure, Canal, Color Image, Day, Europe, Famous Place, Gondola, Grand Canal, In A Row, Italy, Jetty, Lantern, Mediterranean Countries, Mode Of Transport, Moored, National Landmark, Nautical Vessel, Nobody, Outdoors, Sea, Selective Focus, Sky, Venice, Water, Water Vehicle, Waterfront, Wood, Wooden Post, Italian Culture, Transportation, Travel, Travel Destinations",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/107056_Venice_VENICE.jpg,,6.50,Square Foot,1,1,Photographic,Blue,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Austin,107789,Austin,Master,107789,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Architecture, Austin, Blue, Bridge, Building Exterior, Building Structure, City, Cloud, Downtown District, Dusk, Sunset, Evening, Financial District, Illuminated, Road, Skyline, Skyscraper, Summer, Texas, Town Lake, Transportation, Travel Destinations, Urban Scene, USA, Water, Business, City Location, Color Image, Colorado River, Hotel, Lake, Long Exposure, Luxury, No People, Office Building, Outdoors, Sky, Street Light, Vacations",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/107789_Austin_AUSTIN.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Downtown San Francisco,107982,Downtown San Francisco,Master,107982,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, California, Cathedral Hill, City, City Location, Cityscape, Color Image, Day, Downtown District, High Angle View, No People, Outdoors, San Francisco, Scenics, Sky, Skyscraper, Tranquil Scene, Travel Destinations, Urban Scene, USA, Dusk, San Francisco Bay",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/107982_Downtown_San_Francisco_DOWNTOWNSANFRANCISCO.jpg,,6.50,Square Foot,1,1,Photographic,"Multi, Blue",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,San Diego,108956,San Diego,Master,108956,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Architecture, Building Exterior, California, City, City Location, Cityscape, San Diego, San Diego County, Sea, Sky, Skyline, Skyscraper, Travel Destinations, Urban Scene, USA, Water, Waterfront, Color Image, Downtown, Downtown District, Illuminated, Night, No People, Outdoors, Palm Tree, Silhouette, Water Surface, Built Structure, Building Structure, Arecaceae, San Diego Bay, Pacific Ocean",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/108956_San_Diego_SANDIEGO.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Miami,10985,Miami,Master,10985,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, hotel district, South Beach, Miami, Florida, FL, USA, Art Deco, hotels, hotel, neon, brightly lit, illuminated, night, nighttime, silhoutted, evening, dusk, twilight, palm trees, colorful, urban, cityscape, city, tourist destination, vacation, early evening, South, entertainment, relaxation, leisure, lodging, accomodations, tourism, tourist attraction, destination, journey, travel, pink sky, tropical, facades, street scene",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/10985_Miami_MIAMI.jpg,,6.50,Square Foot,1,1,Photographic,"Pink, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Gibraltar,114352,Gibraltar,Master,114352,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Architecture, Building Exterior, Color Image, Famous Place, Gibraltar, International Landmark, Limestone, Mediterranean Countries, Mountain, Natural Landmark, Outdoors, Rock Formation, Spain, Travel Destinations, Urban Scene, City, Cloud, Day, High Angle View, No People, Peak, Rock Of Gibraltar, Scenics, Sea, Sky, Water, Coast, Cliff, Building Structure, Built Structure",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/114352_Gibraltar_GIBRALTAR.jpg,,6.50,Square Foot,1,1,Photographic,"Blue, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Seattle,117731,Seattle,Master,117731,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Architecture, Building Exterior, City, City Location, Cityscape, Cloud, Color Image, Day, Famous Place, International Landmark, Mississippi River, Modern, Multi-Storeyed, No People, Outdoors, Queen Anne Hill, River, Seattle, Sky, Skyline, Skyscraper, Space Needle, Tower, Travel Destinations, Tree, Urban Scene, USA, Washington State, Water, Built Structure, Building Structure, High Rise",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/117731_Seattle_SEATTLE.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,"Alamo Square, San Francisco",118888,"Alamo Square, San Francisco",Master,118888,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Alamo Square, Architecture, Building Exterior, California, Car, City, City Location, Color Image, Day, Facade, Famous Place, Grass, House, In A Row, Lawn, Local Landmark, No People, Old, Outdoors, Residential Structure, Row House, San Francisco, San Francisco County, Sky, Skyline, Suburb, Travel Destinations, Tree, Urban Scene, USA, Victorian Style, Built Structure, Transportation, Repetition, Building Structure, Painted Ladies, Postcard Row, Seven Sisters",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/118888_Alamo_Square_San_Francisco_ALAMOSQUARESANFRANCISCO.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,San Francisco Skyline,118982,San Francisco Skyline,Master,118982,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Alamo Square, Architecture, Building Exterior, California, City, City Location, Cityscape, Color Image, Gable, Illuminated, Modern, Night, No People, Outdoors, San Francisco, Sky, Skyline, Skyscraper, Spire, Tall, Tower, Travel Destinations, Urban Scene, USA, Built Structure, Building Structure",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/118982_San_Francisco_Skyline_SANFRANCISCOSKYLINE.jpg,,6.50,Square Foot,1,1,Photographic,Purple,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Hong Kong,122837,Hong Kong,Master,122837,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Aerial View, Architecture, Building Structure, China, City, Cityscape, Color Image, Crowded, Day, Hong Kong, No People, Outdoors, River, Skyscraper, Tiger States, Tower, Travel Destinations, Urban Scene, Victoria Harbour, Victoria Peak, Dense, Kowloon Peninsula, Victoria Harbor",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/122837_Hong_Kong_HONGKONG.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,Urbana,Bergen,122847,Bergen,Master,122847,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Bergen, Building Structure, City, Cityscape, Color Image, Dusk, Evening, Harbor, High Angle View, Hordaland County, Mountain Range, No People, Norway, Outdoors, Scenics, Sea, Sunset, Travel Destinations, Tree, Urban Scene",https://s3-us-west-2.amazonaws.com/astek-product-images/Urbana/122847_Bergen_BERGEN.jpg,,6.50,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
