websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Utopia,Drunk Monkeys,AD073,Bashed,Color Way,AD073-1,Done in collaboration with Andrew Alford.,"monkey, tropical, whimsical, humor, conversational, banana leaf, painterly, illustrative",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD073-1_Drunk_Monkeys_BASHED.jpg,,7,Square Foot,1,1,"Illustrative, Animalia, Tropical, Scenic + Toile, Botanical, Whimsical",Neutral,Smooth Topeka,,54,,,,,,34.194,47.806,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Drunk Monkeys,AD073,Blackout,Color Way,AD073-2,Done in collaboration with Andrew Alford.,"monkey, tropical, whimsical, humor, conversational, banana leaf, painterly, illustrative",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD073-2_Drunk_Monkeys_BLACKOUT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD073-2_Drunk_Monkeys_BLACKOUT_install.jpg,7,Square Foot,1,1,"Illustrative, Animalia, Tropical, Scenic + Toile, Botanical, Whimsical",Black and White,Smooth Topeka,,54,,,,,,34.194,47.806,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Drunk Monkeys,AD073,Colada,Color Way,AD073-3,Done in collaboration with Andrew Alford.,"monkey, tropical, whimsical, humor, conversational, banana leaf, painterly, illustrative",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD073-3_Drunk_Monkeys_COLADA.jpg,,7,Square Foot,1,1,"Illustrative, Animalia, Tropical, Scenic + Toile, Botanical, Whimsical",Purple,Smooth Topeka,,54,,,,,,34.194,47.806,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Surfs Up,AD380,Barrel,Color Way,AD380-1,"Inspired by southern California's surf culture, this whimsical interpretation was designed and illustrated at Astek's studio in sunny Los Angeles.","surf, california, rabbit, tropical, surfer, conversational, quirky",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD380-1_Surfs_Up_BARREL.jpg,,7,Square Foot,1,1,"Illustrative, Scenic + Toile, Tropical, Whimsical",Black and White,Smooth Topeka,,54,,,,,,36.423,26.383,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Surfs Up,AD380,Pipeline,Color Way,AD380-2,"Inspired by southern California's surf culture, this whimsical interpretation was designed and illustrated at Astek's studio in sunny Los Angeles.","surf, california, rabbit, tropical, surfer, conversational, quirky",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD380-2_Surfs_Up_PIPELINE.jpg,,7,Square Foot,1,1,"Illustrative, Scenic + Toile, Tropical, Whimsical",Green,Smooth Topeka,,54,,,,,,36.423,26.383,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Surfs Up,AD380,Swell,Color Way,AD380-3,"Inspired by southern California's surf culture, this whimsical interpretation was designed and illustrated at Astek's studio in sunny Los Angeles.","surf, california, rabbit, tropical, surfer, conversational, quirky",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD380-3_Surfs_Up_SWELL.jpg,,7,Square Foot,1,1,"Illustrative, Scenic + Toile, Tropical, Whimsical",Pink,Smooth Topeka,,54,,,,,,36.423,26.383,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Bali Hai,AD443,Jujube,Color Way,AD443-1,"Inspired by a mystical island from the 1958 film South Pacific, Bali Hai depicts the vibrant colors and whimsical energy of the fictional isle.","tropical, whimsical, painterly, playful, illustrative, island, botanical, animals",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD443-1_Bali_Hai_COCOPLUM.jpg,,7,Square Foot,1,1,"Illustrative, Tropical, Botanical, Animalia, Painterly, Whimsical","Purple, Pink, Multi",Smooth Topeka,,54,,,,,,52,25.98,Half-drop,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Bali Hai,AD443,Guavaberry,Color Way,AD443-2,"Inspired by a mystical island from the 1958 film South Pacific, Bali Hai depicts the vibrant colors and whimsical energy of the fictional isle.","tropical, whimsical, painterly, playful, illustrative, island, botanical, animals",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD443-2_Bali_Hai_GUAVABERRY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD443-2_Bali_Hai_GUAVABERRY_install.jpg,7,Square Foot,1,1,"Illustrative, Tropical, Botanical, Animalia, Painterly, Whimsical","Green, Multi",Smooth Topeka,,54,,,,,,52,25.98,Half-drop,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Bali Hai,AD443,Cocoplum,Color Way,AD443-3,"Inspired by a mystical island from the 1958 film South Pacific, Bali Hai depicts the vibrant colors and whimsical energy of the fictional isle.","tropical, whimsical, painterly, playful, illustrative, island, botanical, animals",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD443-3_Bali_Hai_JUJUBE.jpg,,7,Square Foot,1,1,"Illustrative, Tropical, Botanical, Animalia, Painterly, Whimsical","Orange, Multi",Smooth Topeka,,54,,,,,,52,25.98,Half-drop,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Utopia,Fable,AD445,Lory,Color Way,AD445-1,Fable depicts an allegory in which a parrot was brought from his native land and treated to an opulent lifestyle in his new home. The design was heavily borrowed from French surface design of the 18th century and hand cut from paper to give the scene a hand-made aesthetic.,"parrot, stencil, paper cut, damask, toile, traditional, tonal, sweet, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Utopia/AD445-1_Fable_LORY.jpg,,7,Square Foot,1,1,"Illustrative, Damask, Traditional",White,Smooth Topeka,,54,,,,,,52,19,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
