design_sku,description,motif_width_inches,vertical_repeat_inches,repeat_match_type,hanging_instructions
DE501,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE502,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE503,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE504,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE505,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE506,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE507,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE508,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE509,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE510,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE511,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE512,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE513,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE514,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE515,This embossed vinyl wallcovering delivers a beautiful shine and defined texture.,,,Straight,
DE516,This high-shine vinyl wallcovering has a mirror-like surface.,,,Random,Reverse hang
DE517,This high-shine vinyl wallcovering has a mirror-like surface.,,,Random,Reverse hang
DE518,This high-shine vinyl wallcovering has a mirror-like surface.,,,Random,Reverse hang
DE519,This high-shine vinyl wallcovering has a mirror-like surface.,,,Random,Reverse hang
DE520,This high-shine vinyl wallcovering has a brushed metal appearance.,,,Random,Reverse hang
DE521,This high-shine vinyl wallcovering has a brushed metal appearance.,,,Random,Reverse hang
DE522,This high-shine vinyl wallcovering has a brushed metal appearance.,,,Random,Reverse hang
DE523,This high-shine vinyl wallcovering has a brushed metal appearance.,,,Random,Reverse hang
DE524,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE525,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE526,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE527,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE528,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE529,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE530,This shiny vinyl wallcovering features a deeply embossed corcodile skin pattern.,8.5,6.5,Straight,
DE531,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE532,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE533,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE534,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE535,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE536,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE537,This shiny vinyl wallcovering features a tiny geometric with a deep emboss.,,,Random,Reverse hang
DE538,The texture in our Metallic Textile wallcovering mimics that of a woven textile.,,,Random,Reverse hang
DE539,The texture in our Metallic Textile wallcovering mimics that of a woven textile.,,,Random,Reverse hang
DE540,The texture in our Metallic Textile wallcovering mimics that of a woven textile.,,,Random,Reverse hang
DE541,The texture in our Metallic Textile wallcovering mimics that of a woven textile.,,,Random,Reverse hang
DE542,The texture in our Metallic Textile wallcovering mimics that of a woven textile.,,,Random,Reverse hang
DE543,The texture in our Metallic Textile wallcovering mimics that of a woven textile.,,,Random,Reverse hang
