websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards ,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT101,CT101,CT101,Master,CT101,,"mottled, stucco, concrete, plaster",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-101.jpg,,54.00,Roll,1,1,"Textural, Faux Finish",Grey,,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT102,CT102,CT102,Master,CT102,,"mottled, stucco, concrete, plaster",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-102.jpg,,54.00,Roll,1,1,"Textural, Faux Finish",Beige,,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT103,CT103,CT103,Master,CT103,,"mottled, stucco, concrete, plaster",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-103.jpg,,54.00,Roll,1,1,"Textural, Faux Finish",Off-White,,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT104,CT104,CT104,Master,CT104,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-104.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical","Blue, Purple, Grey, Multi",,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT105,CT105,CT105,Master,CT105,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-105.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical",Black,,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT106,CT106,CT106,Master,CT106,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-106.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical",Cream,,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT107,CT107,CT107,Master,CT107,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-107.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical",Silver,,Paper,27.55,11,,,,,27.55,25.2,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT108,CT108,CT108,Master,CT108,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-108.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical","Blue, Purple, Grey, Multi",,Paper,27.55,11,,,,,27.5,12.6,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT109,CT109,CT109,Master,CT109,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-109.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical",Cream,,Paper,27.55,11,,,,,27.55,12.6,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
A,Marburg,3-6 weeks,Specialty,Textured,Contemporary Textures,CT110,CT110,CT110,Master,CT110,,"feather, feathers, shine, shiny, sheen",https://s3-us-west-2.amazonaws.com/astek-product-images/Contemporary_Textures/CT-110.jpg,,54.00,Roll,1,1,"Textural, Animalia, Whimsical",Green,,Paper,27.55,11,,,,,27.55,12.6,Straight,,11,Paste the Wall,Strippable,Extra Washable,Very Good,Class A,,,No
