design_sku,design_name,description
218380,Strié - Sand,The varigated lines in this wallcovering adds beautiful texture to any space. 
218381,Strié - Yellow,The varigated lines in this wallcovering adds beautiful texture to any space. 
218382,Strié - Pink,The varigated lines in this wallcovering adds beautiful texture to any space. 
218383,Strié - Grey,The varigated lines in this wallcovering adds beautiful texture to any space. 
218384,Strié - White,The varigated lines in this wallcovering adds beautiful texture to any space. 
218385,Strié - Natural White,The varigated lines in this wallcovering adds beautiful texture to any space. 
218386,Strié - Navy,The varigated lines in this wallcovering adds beautiful texture to any space. 
218387,Strié - Beige,The varigated lines in this wallcovering adds beautiful texture to any space. 
218388,Strié - Brown,The varigated lines in this wallcovering adds beautiful texture to any space. 
218389,Strié - Umber,The varigated lines in this wallcovering adds beautiful texture to any space. 
218390,Strié - Purple,The varigated lines in this wallcovering adds beautiful texture to any space. 
218391,Strié - Blue,The varigated lines in this wallcovering adds beautiful texture to any space. 
218400,Modern Grid - White,The dimensional shading in Modern Grid creates an intriguing illusion.
218401,Modern Grid - Tan,The dimensional shading in Modern Grid creates an intriguing illusion.
218402,Modern Grid - Smoke,The dimensional shading in Modern Grid creates an intriguing illusion.
218403,Modern Grid - Blue,The dimensional shading in Modern Grid creates an intriguing illusion.
218410,Geometric - Brown,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218411,Geometric - Blue,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218412,Geometric - Pink,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218413,Geometric - Smoke,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218414,Geometric - Cream,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218415,Geometric - Ecru,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218416,Geometric - Amber Brown,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218417,Geometric - Yellow,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218418,Geometric - Grey,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218419,Geometric - White,The 3D illusion in this geometric wallcovering creates a bold and modern statement.
218430,Futurism - Yellow,"Futurism features bold, dimensional shading that transforms walls and spaces. "
218431,Futurism - Purple,"Futurism features bold, dimensional shading that transforms walls and spaces. "
218432,Futurism - White,"Futurism features bold, dimensional shading that transforms walls and spaces. "
218433,Futurism - Charcoal,"Futurism features bold, dimensional shading that transforms walls and spaces. "
218440,Color Wash - Smoke,This wallcovering features a subtle depth and texture in a beautiful palette of neutrals. 
218441,Color Wash - Brown,This wallcovering features a subtle depth and texture in a beautiful palette of neutrals. 
218442,Color Wash - Off-White,This wallcovering features a subtle depth and texture in a beautiful palette of neutrals. 
218443,Color Wash - Tan,This wallcovering features a subtle depth and texture in a beautiful palette of neutrals. 
218444,Color Wash - White,This wallcovering features a subtle depth and texture in a beautiful palette of neutrals. 
218450,Fern - Smoke,The impressionistic fern motif in this wallcovering offers a stylish twist on a floral design.
218451,Fern - Brown,The impressionistic fern motif in this wallcovering offers a stylish twist on a floral design.
218452,Fern - Off-White,The impressionistic fern motif in this wallcovering offers a stylish twist on a floral design.
218453,Fern - Tan,The impressionistic fern motif in this wallcovering offers a stylish twist on a floral design.
218454,Fern - White,The impressionistic fern motif in this wallcovering offers a stylish twist on a floral design.
218460,Subtle Texture - Smoke,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218461,Subtle Texture - Charcoal,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218462,Subtle Texture - Brown,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218463,Subtle Texture - Metal,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218465,Subtle Texture - Beige,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218466,Subtle Texture - Eggshell,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218467,Subtle Texture - Purple,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218469,Subtle Texture - Dove,The subtle color and texture shifts in this wallcovering will make any space feel instantly more contemporary.
218480,Mixed Geometric - Neutral,A subtle grid is overlayed with an irregular stripe to create a unique look. 
218481,Mixed Geometric - Black,A subtle grid is overlayed with an irregular stripe to create a unique look. 
218482,Mixed Geometric - Black and White,A subtle grid is overlayed with an irregular stripe to create a unique look. 
218483,Mixed Geometric - Soft Grey,A subtle grid is overlayed with an irregular stripe to create a unique look. 
218484,Mixed Geometric - Grey,A subtle grid is overlayed with an irregular stripe to create a unique look. 
218490,Minimalist - Warm Grey,This wallcovering features a delicate tonal grid finished with a subtle metallic effect.
218491,Minimalist - Black,This wallcovering features a delicate tonal grid finished with a subtle metallic effect.
218492,Minimalist - Pale Green,This wallcovering features a delicate tonal grid finished with a subtle metallic effect.
218493,Minimalist - Dove,This wallcovering features a delicate tonal grid finished with a subtle metallic effect.
218494,Minimalist - Grey,This wallcovering features a delicate tonal grid finished with a subtle metallic effect.
