design_sku,design_name,variant_sku,variant_name,description
FM-01,Copper Leaf - Penny,FM-01,Copper Leaf - Penny,"Constructed by hand, this luxurious wallcovering features authentic copper leaf."
FM-02,Copper Leaf - Amber,FM-02,Copper Leaf - Amber,"Constructed by hand, this luxurious wallcovering features authentic copper leaf."
FM-03,Copper Leaf - Burnished,FM-03,Copper Leaf - Burnished,"Constructed by hand, this luxurious wallcovering features authentic copper leaf."
FM-04,Copper Leaf - Subtle,FM-04,Copper Leaf - Subtle,"Constructed by hand, this luxurious wallcovering features authentic copper leaf."
FM-05,Copper Leaf - Clove,FM-05,Copper Leaf - Clove,"Constructed by hand, this luxurious wallcovering features authentic copper leaf."
FM-06,Silver Leaf - Nickel,FM-06,Silver Leaf - Nickel,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-07,Silver Leaf - Duality,FM-07,Silver Leaf - Duality,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-08,Silver Leaf - Ice,FM-08,Silver Leaf - Ice,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-09,Silver Leaf - Coin,FM-09,Silver Leaf - Coin,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-10,Silver Leaf - Steel,FM-10,Silver Leaf - Steel,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-11,Silver Leaf - Galaxy,FM-11,Silver Leaf - Galaxy,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-12,Silver Leaf - Champagne,FM-12,Silver Leaf - Champagne,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-13,Silver Leaf - Cresecent,FM-13,Silver Leaf - Cresecent,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-14,Silver Leaf - Charm,FM-14,Silver Leaf - Charm,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-15,Silver Leaf - Slate,FM-15,Silver Leaf - Slate,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-16,Silver Leaf - Chrome,FM-16,Silver Leaf - Chrome,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-17,Silver Leaf - Titanium,FM-17,Silver Leaf - Titanium,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-18,Silver Leaf - Cloud,FM-18,Silver Leaf - Cloud,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-19,Silver Leaf - Fog,FM-19,Silver Leaf - Fog,"Constructed by hand, this luxurious wallcovering features authentic silver leaf."
FM-20,Gold Leaf - Royal,FM-20,Gold Leaf - Royal,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-21,Gold Leaf - Honey,FM-21,Gold Leaf - Honey,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-22,Gold Leaf - Trumbone,FM-22,Gold Leaf - Trumbone,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-23,Gold Leaf - Antique,FM-23,Gold Leaf - Antique,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-24,Gold Leaf - Pyrite,FM-24,Gold Leaf - Pyrite,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-25,Gold Leaf - Sun,FM-25,Gold Leaf - Sun,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-26,Gold Leaf - Nugget,FM-26,Gold Leaf - Nugget,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-27,Gold Leaf - Medallion,FM-27,Gold Leaf - Medallion,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-28,Gold Leaf - Blonde,FM-28,Gold Leaf - Blonde,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-29,Gold Leaf - Florentine,FM-29,Gold Leaf - Florentine,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-30,Gold Leaf - Goblet,FM-30,Gold Leaf - Goblet,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-31,Gold Leaf - Burnished,FM-31,Gold Leaf - Burnished,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-32,Gold Leaf - Doubloon,FM-32,Gold Leaf - Doubloon,"Constructed by hand, this luxurious wallcovering features authentic gold leaf."
FM-33,Metallic Leaf - Colorful,FM-33,Metallic Leaf - Colorful,"Constructed by hand, this luxurious wallcovering features authentic metallic leaf in multiple colors and tones."
FM-34,Metallic Leaf - Black and Gold,FM-34,Metallic Leaf - Black and Gold,"Constructed by hand, this luxurious wallcovering features authentic metallic leaf in multiple colors and tones."
FM-35,Metallic Leaf - Vivid,FM-35,Metallic Leaf - Vivid,"Constructed by hand, this luxurious wallcovering features authentic metallic leaf in multiple colors and tones."
