design_sku,design_name,variant_name,description
LL-301,Basket Weave - Brass,Basket Weave - Brass,"This Type II vinyl wallcovering features a textural, basket weave pattern in a golden hue."
LL-302,Basket Weave - Aluminum,Basket Weave - Aluminum,"This Type II vinyl wallcovering features a textural, basket weave pattern in a silver hue."
LL-303,Basket Weave - Uranium,Basket Weave - Uranium,"This Type II vinyl wallcovering features a textural, basket weave pattern in a silvery gold hue."
LL-304,Basket Weave - Bronze,Basket Weave - Bronze,"This Type II vinyl wallcovering features a textural, basket weave pattern in a rich bronze hue."
LL-305,Basket Weave - Copper,Basket Weave - Copper,"This Type II vinyl wallcovering features a textural, basket weave pattern in a copper hue."
LL-306,Metal Emboss - Gold,Metal Emboss - Gold,"Mimicking the aesthetic of embossed metal, this Type II vinyl wallcovering features a luxurious yellow gold hue. "
LL-307,Metal Emboss - Silver,Metal Emboss - Silver,"Mimicking the aesthetic of embossed metal, this Type II vinyl wallcovering features a luxe silver hue. "
LL-308,Metal Emboss - White Gold,Metal Emboss - White Gold,"Mimicking the aesthetic of embossed metal, this Type II vinyl wallcovering features a luxe white gold hue. "
LL-309,Metal Emboss - Bronze,Metal Emboss - Bronze,"Mimicking the aesthetic of embossed metal, this Type II vinyl wallcovering features a luxurious bronze hue. "
LL-310,Metal Emboss - Copper,Metal Emboss - Copper,"Mimicking the aesthetic of embossed metal, this Type II vinyl wallcovering features a luxe copper hue. "
LL-311,Metal Textile - Brass,Metal Textile - Brass,"Mimicking the texture and detail of a woven textile, this Type II vinyl wallcovering features a shiny metallic finish."
LL-312,Metal Textile - Platinum,Metal Textile - Platinum,"Mimicking the texture and detail of a woven textile, this Type II vinyl wallcovering features a shiny metallic finish."
LL-313,Metal Textile - Titanium,Metal Textile - Titanium,"Mimicking the texture and detail of a woven textile, this Type II vinyl wallcovering features a shiny metallic finish."
LL-314,Metal Textile - Lead,Metal Textile - Lead,"Mimicking the texture and detail of a woven textile, this Type II vinyl wallcovering features a shiny metallic finish."
LL-315,Metal Textile - Antique Bronze,Metal Textile - Antique Bronze,"Mimicking the texture and detail of a woven textile, this Type II vinyl wallcovering features a shiny metallic finish."
LL-316,Corrugated Metal - Yellow Gold,Corrugated Metal - Yellow Gold,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-317,Corrugated Metal - Palladium,Corrugated Metal - Palladium,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-318,Corrugated Metal - White Gold,Corrugated Metal - White Gold,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-319,Corrugated Metal - Rose Gold,Corrugated Metal - Rose Gold,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-320,Corrugated Metal - Bronze,Corrugated Metal - Bronze,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-321,Textured Metal - Yellow Gold,Textured Metal - Yellow Gold,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-322,Textured Metal - Rhodium,Textured Metal - Rhodium,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-323,Textured Metal - White Gold,Textured Metal - White Gold,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-324,Textured Metal - Lead,Textured Metal - Lead,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-325,Textured Metal - Bronze,Textured Metal - Bronze,This Type II vinyl wallcovering features a subtle texture in a luxe metallic finish.
LL-326,Glitter - Peridot,Glitter - Peridot,This fun and lively Type II vinyl wallcovering features glitter and a pop of color.
LL-327,Glitter - Emerald,Glitter - Emerald,This fun and lively Type II vinyl wallcovering features glitter and a pop of color.
LL-328,Glitter - Punch,Glitter - Punch,This fun and lively Type II vinyl wallcovering features glitter and a pop of color.
LL-329,Glitter - Fire,Glitter - Fire,This fun and lively Type II vinyl wallcovering features glitter and a pop of color.
LL-330,Glitter - Red,Glitter - Red,This fun and lively Type II vinyl wallcovering features glitter and a pop of color.
LL-331,Glitter - Prussian,Glitter - Prussian,This fun and lively Type II vinyl wallcovering features glitter and a pop of color.
LL-332,Textured Check - Silver,Textured Check - Silver,This richly textured Type II vinyl wallcovering features a checked design in a metallic finish. 
LL-333,Textured Check - Jade,Textured Check - Jade,This richly textured Type II vinyl wallcovering features a checked design in a metallic finish. 
LL-334,Textured Check - Iron,Textured Check - Iron,This richly textured Type II vinyl wallcovering features a checked design in a metallic finish. 
LL-335,Textured Check - Indigo,Textured Check - Indigo,This richly textured Type II vinyl wallcovering features a checked design in a metallic finish. 
LL-336,Textured Check - Walnut,Textured Check - Walnut,This richly textured Type II vinyl wallcovering features a checked design in a metallic finish. 
LL-337,Metallic Scales - Emerald,Metallic Scales - Emerald,This luxe Type II vinyl wallcovering features an embossed reptile skin design in a glam metallic finish.
LL-338,Metallic Scales - Gunmetal,Metallic Scales - Gunmetal,This luxe Type II vinyl wallcovering features an embossed reptile skin design in a glam metallic finish.
LL-339,Metallic Scales - Midnight,Metallic Scales - Midnight,This luxe Type II vinyl wallcovering features an embossed reptile skin design in a glam metallic finish.
LL-340,Metallic Scales - Mahogany,Metallic Scales - Mahogany,This luxe Type II vinyl wallcovering features an embossed reptile skin design in a glam metallic finish.
LL-341,Metallic Scales - Walnut,Metallic Scales - Walnut,This luxe Type II vinyl wallcovering features an embossed reptile skin design in a glam metallic finish.
LL-342,Fractal - Aluminum,Fractal - Aluminum,"This Type II vinyl wallcovering features a textural, abstract design in a metallic finish."
LL-343,Fractal - Emerald,Fractal - Emerald,"This Type II vinyl wallcovering features a textural, abstract design in a metallic finish."
LL-344,Fractal - Gunmetal,Fractal - Gunmetal,"This Type II vinyl wallcovering features a textural, abstract design in a metallic finish."
LL-345,Fractal - Azurite,Fractal - Azurite,"This Type II vinyl wallcovering features a textural, abstract design in a metallic finish."
LL-346,Fractal - Amethyst,Fractal - Amethyst,"This Type II vinyl wallcovering features a textural, abstract design in a metallic finish."
LL-347,Fractal - Smoky Quartz,Fractal - Smoky Quartz,"This Type II vinyl wallcovering features a textural, abstract design in a metallic finish."
LL-348,Metallic Paper - Pearl,Metallic Paper - Pearl,"Featuring a fibrous paper texture, this Type II vinyl wallcovering is finished in luxe pearl sheen."
LL-349,Metallic Paper - Gold,Metallic Paper - Gold,"Featuring a fibrous paper texture, this Type II vinyl wallcovering is finished in luxe metallic gold."
LL-350,Metallic Paper - Silver,Metallic Paper - Silver,"Featuring a fibrous paper texture, this Type II vinyl wallcovering is finished in luxe metallic silver."
