design_sku,design_name,description
17919,Elephant Hide - Tan,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17920,Elephant Hide - White,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17921,Elephant Hide - Sand,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17922,Elephant Hide - Umber,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17923,Elephant Hide - Blue,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17924,Elephant Hide - Russet,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17925,Elephant Hide - Vanilla,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17926,Elephant Hide - Grey,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17927,Elephant Hide - Rust,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17928,Elephant Hide - Slate,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17929,Elephant Hide - Auburn,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17930,Elephant Hide - Eggshell,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17931,Elephant Hide - Asphalt,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17932,Elephant Hide - Pewter,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17933,Elephant Hide - Taupe,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17934,Elephant Hide - Fog,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17935,Elephant Hide - Green,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17936,Elephant Hide - Iron,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17937,Elephant Hide - Espresso,Elephant Hide wallcoverings offer a sophisticated leather texutre in a chic palette.
17938,Subtle - Grey,A subtly textured wallcovering in a beautiful grey tone.
17939,Subtle - Tan,A subtly textured wallcovering in a beautiful tan hue.
17940,Scrollwork - Ivory,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17941,Scrollwork - Rust,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17942,Scrollwork - Charcoal,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17943,Scrollwork - Pewter,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17944,Scrollwork - Beige,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17945,Scrollwork - Denim,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17946,Scrollwork - Blue,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17947,Scrollwork - Umber,"Scrollwork features a soft, supple leather texture mixed with ornamental scroll motifs."
17950,Crocodile Skin - Umber,This elegant crocodile skin wallcovering features a subtle metallic effect.
17951,Crocodile Skin - Tan,This elegant crocodile skin wallcovering features a subtle metallic effect.
17952,Crocodile Skin - Pewter,This elegant crocodile skin wallcovering features a subtle metallic effect.
17953,Crocodile Skin - Auburn,This elegant crocodile skin wallcovering features a subtle metallic effect.
17954,Crocodile Skin - Blue,This elegant crocodile skin wallcovering features a subtle metallic effect.
17955,Crocodile Skin - White,This elegant crocodile skin wallcovering features a subtle metallic effect.
17956,Crocodile Skin - Brown,This elegant crocodile skin wallcovering features a subtle metallic effect.
17957,Crocodile Skin - Rust,This elegant crocodile skin wallcovering features a subtle metallic effect.
17958,Crocodile Skin - Eggshell,This elegant crocodile skin wallcovering features a subtle metallic effect.
17960,Feathers - Tan,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17961,Feathers - Lilac,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17962,Feathers - Blue,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17963,Feathers - Sunset,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17964,Feathers - Ecru,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17965,Feathers - Smoke,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17966,Feathers - White,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17967,Feathers - Grey,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17968,Feathers - Charcoal,Feathers is unexpected yet sophisticated and features a subtle metallic effect.
17970,Checkered Cowhide - Ecru,Create an extraordinary look with this cowhide inspired wallcovering.
17971,Checkered Cowhide - White,Create an extraordinary look with this cowhide inspired wallcovering.
17972,Checkered Cowhide - Smoke,Create an extraordinary look with this cowhide inspired wallcovering.
17973,Checkered Cowhide - Tan,Create an extraordinary look with this cowhide inspired wallcovering.
17974,Checkered Cowhide - Umber,Create an extraordinary look with this cowhide inspired wallcovering.
17975,Checkered Cowhide - Brown,Create an extraordinary look with this cowhide inspired wallcovering.
