design_name,design_sku,description
Crocodile - Red,WK201,"This glamorous Type II vinyl wallcovering mimics crocodile leather in a shiny, luxe finish."
Crocodile - Silver,WK202,"This glamorous Type II vinyl wallcovering mimics crocodile leather in a shiny, luxe finish."
Crocodile - White Gold,WK203,"This glamorous Type II vinyl wallcovering mimics crocodile leather in a shiny, luxe finish."
Crocodile - Yellow Gold,WK204,"This glamorous Type II vinyl wallcovering mimics crocodile leather in a shiny, luxe finish."
Crocodile - Moonstone,WK205,"This glamorous Type II vinyl wallcovering mimics crocodile leather in a shiny, luxe finish."
Ostrich Leather - Gold,WK206,"This glamorous Type II vinyl wallcovering mimics ostrich leather in a metallic, luxe finish."
Ostrich Leather - Silver,WK207,"This glamorous Type II vinyl wallcovering mimics ostrich leather in a metallic, luxe finish."
Ostrich Leather - Bronze,WK208,"This glamorous Type II vinyl wallcovering mimics ostrich leather in a metallic, luxe finish."
Alligator - Red,WK209,"This glamorous Type II vinyl wallcovering mimics alligator leather in a metallic, luxe finish."
Alligator - Onyx,WK210,"This glamorous Type II vinyl wallcovering mimics alligator leather in a metallic, luxe finish."
Alligator - Antique Brass,WK211,"This glamorous Type II vinyl wallcovering mimics alligator leather in a metallic, luxe finish."
Alligator - Steel,WK212,"This glamorous Type II vinyl wallcovering mimics alligator leather in a metallic, luxe finish."
Reptile - Onyx,WK213,"This glamorous Type II vinyl wallcovering mimics snake skin in a metallic, luxe finish."
Reptile - Rhodium,WK214,"This glamorous Type II vinyl wallcovering mimics snake skin in a metallic, luxe finish."
Reptile - Moonstone,WK215,"This glamorous Type II vinyl wallcovering mimics snake skin in a metallic, luxe finish."
Reptile - Ruby,WK216,"This glamorous Type II vinyl wallcovering mimics snake skin in a metallic, luxe finish."
Alloy - Aluminum,WK217,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Alloy - White,WK218,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Alloy - Black,WK219,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Alloy - Bronze,WK220,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Alloy - Gold,WK221,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Alloy - Iron,WK222,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Alloy - Steel,WK223,This smooth and shiny Type II vinyl wallcovering adds interest and understated beauty to spaces.
Ore - Pale Gold,WK224,This metallic Type II vinyl wallcovering adds interest and understated beauty to spaces.
Ore - Platinum,WK225,This metallic Type II vinyl wallcovering adds interest and understated beauty to spaces.
Ore - White Gold,WK226,This metallic Type II vinyl wallcovering adds interest and understated beauty to spaces.
Metallic Texture - Bronze,WK227,"This textured, metallic Type II vinyl wallcovering adds interest and understated beauty to spaces."
Metallic Texture - Zinc,WK228,"This textured, metallic Type II vinyl wallcovering adds interest and understated beauty to spaces."
Metallic Texture - Steel,WK229,"This textured, metallic Type II vinyl wallcovering adds interest and understated beauty to spaces."
Metallic Thread - White Gold,WK230,This metallic Type II vinyl wallcovering mimics the texture and aesthetic of a woven textile.
Squares - Antique Brass,WK231,This richly textured Type II vinyl wallcovering features a versatile checkered design.
Squares - Dark Pewter,WK232,This richly textured Type II vinyl wallcovering features a versatile checkered design.
Squares - Brushed Nickel,WK233,This richly textured Type II vinyl wallcovering features a versatile checkered design.
Metallic Thread - Gunmetal,WK234,This metallic Type II vinyl wallcovering mimics the texture and aesthetic of a woven textile.
Tactile - Gold,WK235,This richly textured Type II vinyl wallcovering features a luxe gold finish.
Tactile - Silver,WK236,This richly textured Type II vinyl wallcovering features a luxe silver finish.
Hide - Steel,WK237,This luxe Type II vinyl wallcovering features a faux leather design in a metallic finish.
Hide - Brushed Nickel,WK238,This luxe Type II vinyl wallcovering features a faux leather design in a metallic finish.
